Country,PPCG_Donor_Id,Matching_WGS_Sample,WGS_Local_Sample_Id,PPCG_Meth_Sample_ID,Platform,Meth_Local_Sample_ID,Meth_Sample_Type,MetastaticSite,Meth_Distance_To_WGS_Sample,Meth_RNASeq_Annot,idat_grn_filename,idat_red_filename,Date_of_scan_or_Sequencing,Comments,Is_FFPE
UK,PPCG0106,PPCG0106a_DNA,PD14733a,PPCG0106c_EPICseq,EPICseq,CRUK_PC_0109_V01_T01_L_TUM_METH_B19_H2KVKBBXY_s_3_4_ATGTCA,TUM,NA,YES,NA,NA,NA,,,
UK,PPCG0106,ADD,ADD,PPCG0106d_EPICseq,EPICseq,CRUK_PC_0109_V0N_T01_L_BEN_METH_B19_H2KVKBBXY_s_3_4_CCGTCC,BEN,NA,UNMATCH,NA,NA,NA,,,
UK,PPCG0107,PPCG0107a_DNA,PD14735a,PPCG0107c_EPICseq,EPICseq,CRUK_PC_0111_V02_T01_L_TUM_METH_B20_H2KVKBBXY_s_7_8_ACAGTG,TUM,NA,YES,NA,NA,NA,,,
UK,PPCG0107,ADD,ADD,PPCG0107d_EPICseq,EPICseq,CRUK_PC_0111_V0N_T01_L_BEN_METH_B20_H2KVKBBXY_s_7_8_GCCAAT,BEN,NA,UNMATCH,NA,NA,NA,,,
UK,PPCG0108,PPCG0108a_DNA,PD18878a,PPCG0108c_EPICseq,EPICseq,CRUK_PC_0121_V05_TXX_C_TUM_METH_B21_HYG7FBBXX_s_1_2_AGTTCC,TUM,NA,YES,NA,NA,NA,,,
UK,PPCG0108,ADD,ADD,PPCG0108d_EPICseq,EPICseq,CRUK_PC_0121_V15_T01_C_BEN_METH_B21_HYG7FBBXX_s_1_2_GTGAAA,BEN,NA,UNMATCH,NA,NA,NA,,,
UK,PPCG0109,PPCG0109a_DNA,PD18879a,PPCG0109c_EPICseq,EPICseq,CRUK_PC_0129_V01_T01_L_TUM_METH_B16_H27YCBBXY_s_3_4_CGATGT,TUM,NA,YES,NA,NA,NA,,,
UK,PPCG0109,ADD,ADD,PPCG0109d_EPICseq,EPICseq,CRUK_PC_0129_V0N_T01_L_BEN_METH_B16_H27YCBBXY_s_3_4_TGACCA,BEN,NA,UNMATCH,NA,NA,NA,,,
UK,PPCG0110,PPCG0110a_DNA,PD18881a,PPCG0110c_EPICseq,EPICseq,CRUK_PC_0131_V04_T01_L_TUM_METH_B17_H27YCBBXY_s_5_6_AGTCAA,TUM,NA,YES,NA,NA,NA,,,
UK,PPCG0110,ADD,ADD,PPCG0110d_EPICseq,EPICseq,CRUK_PC_0131_V5N_T01_L_BEN_METH_B17_H27YCBBXY_s_5_6_AGTTCC,BEN,NA,UNMATCH,NA,NA,NA,,,
UK,PPCG0111,PPCG0111a_DNA,PD18883a,PPCG0111c_EPICseq,EPICseq,CRUK_PC_0133_V04_T01_L_TUM_METH_B29_H37NWBBXY_s_3_4_GTCCGC,TUM,NA,YES,NA,NA,NA,,,
UK,PPCG0111,ADD,ADD,PPCG0111d_EPICseq,EPICseq,CRUK_PC_0133_V0N_T01_L_BEN_METH_B29_H37NWBBXY_s_3_4_GTGAAA,BEN,NA,UNMATCH,NA,NA,NA,,,
UK,PPCG0112,PPCG0112c_DNA,PD18896c,PPCG0112d_EPICseq,EPICseq,CRUK_PC_0146_V02_TXX_C_BEN_METH_B37_H7N2HBBXY_s_7_8_TGACCA,BEN,NA,YES,NA,NA,NA,,,
UK,PPCG0112,PPCG0112a_DNA,PD18896a,PPCG0112e_EPICseq,EPICseq,CRUK_PC_0146_V18_TXX_C_TUM_METH_B37_H7N2HBBXY_s_7_8_CGATGT,TUM,NA,YES,NA,NA,NA,,,
UK,PPCG0113,PPCG0113a_DNA,PD18910a2,PPCG0113d_EPICseq,EPICseq,CRUK_PC_0160_V02_T03_C_TUM_METH_B01_HMWVGBBXX_s_1_2_CTTGTA,TUM,NA,YES,NA,NA,NA,,,
UK,PPCG0113,PPCG0113c_DNA,PD18910c,PPCG0113e_EPICseq,EPICseq,CRUK_PC_0160_V03_T06_C_BEN_METH_B01_HMWVGBBXX_s_1_2_CAGATC,BEN,NA,YES,NA,NA,NA,,,
